genus1,genus2,locus1,locus2,overlap_count,overlap
Agamerion,Neapterolelaps,L338,L338,1,G
Agamerion,Neapterolelaps,L399,L400,1,G
Agamerion,Nepistenia,L1008,L1008,1,G
Agamerion,Nepistenia,L359,L359,1,G
Agamerion,Nepistenia,L405,L405,1,G
Agamerion,Nepistenia,L481,L481,1,H
Agamerion,Nepistenia,L399,L400,1,G
Agamerion,Nepistenia,L819,L820,1,H
Agamerion,Nepistenia,L802,L802,1,G
Agamerion,Parepistenia,L262,L262,1,H
Agamerion,Parepistenia,L502,L502,1,G
Agamerion,Parepistenia,L510,L510,2,A G
Agamerion,Parepistenia,L764,L764,1,G
Agamerion,Parepistenia,L161,L162,1,G
Agamerion,Parepistenia,L928,L929,1,G
Agamerion,Parepistenia,L162,L162,1,G
Agamerion,Parepistenia,L25,L25,1,G
Agamerion,Parepistenia,L929,L929,1,G
Agamerion,Plutothrix,L500,L501,1,G
Agamerion,Proshizonotus,L399,L400,2,G H
Agamerion,Proshizonotus,L112,L112,1,G
Agamerion,Proshizonotus,L25,L25,1,B
Agamerion,Proshizonotus,L5,L5,1,G
Agamerion,Proshizonotus,L618,L618,1,G
Agamerion,Proshizonotus,L753,L753,1,G
Agamerion,Proshizonotus,L571,L572,1,G
Agamerion,Proshizonotus,L1018,L1018,1,H
Agamerion,Proshizonotus,L245,L245,1,G
Agamerion,Proshizonotus,L802,L802,1,B
Agamerion,Pteromalus,L47,L48,1,G
Agamerion,Systole,L951,L951,1,G
Agamerion,Tetramesa,L503,L504,1,G
Aiolomorphus,Bruchodape,L338,L339,2,A G
Aiolomorphus,Bruchodape,L14,L15,1,A
Aiolomorphus,Bruchodape,L241,L242,1,G
Aiolomorphus,Bruchodape,L47,L47,1,G
Aiolomorphus,Bruchodape,L646,L646,1,G
Aiolomorphus,Dibrachys,L359,L362,1,G
Aiolomorphus,Ditropinotella,L321,L321,1,G
Aiolomorphus,Ditropinotella,L436,L436,2,C D
Aiolomorphus,Endobia,L307,L308,1,G
Aiolomorphus,Endobia,L537,L539,1,A
Aiolomorphus,Endobia,L56,L57,2,G H
Aiolomorphus,Endobia,L233,L233,1,G
Aiolomorphus,Endobia,L482,L482,1,G
Aiolomorphus,Endobia,L867,L867,1,G
Aiolomorphus,Euryischomyia,L388,L389,1,G
Aiolomorphus,Eurytoma,L5,L5,2,C D
Aiolomorphus,Grooca,L500,L501,1,G
Aiolomorphus,Masneroma,L1,L2,1,H
Aiolomorphus,Masneroma,L307,L308,1,G
Aiolomorphus,Masneroma,L1030,L1030,1,D
Aiolomorphus,Masneroma,L647,L648,1,G
Aiolomorphus,Masneroma,L745,L746,1,G
Aiolomorphus,Masneroma,L1006,L1006,1,G
Aiolomorphus,Masneroma,L648,L648,1,G
Aiolomorphus,Masneroma,L746,L746,1,G
Aiolomorphus,Masneroma,L905,L905,1,H
Aiolomorphus,Ormyromorpha,L500,L501,1,G
Aiolomorphus,Systole,L1011,L1012,2,A G
Aiolomorphus,Systole,L1044,L1046,1,A
Aiolomorphus,Systole,L114,L115,1,G
Aiolomorphus,Systole,L115,L116,1,G
Aiolomorphus,Systole,L133,L134,2,A G
Aiolomorphus,Systole,L208,L210,1,A
Aiolomorphus,Systole,L219,L220,1,G
Aiolomorphus,Systole,L254,L255,1,A
Aiolomorphus,Systole,L275,L276,2,A G
Aiolomorphus,Systole,L305,L306,1,G
Aiolomorphus,Systole,L307,L308,1,G
Aiolomorphus,Systole,L32,L33,1,G
Aiolomorphus,Systole,L345,L346,2,A G
Aiolomorphus,Systole,L34,L35,1,G
Aiolomorphus,Systole,L364,L365,1,G
Aiolomorphus,Systole,L415,L417,1,G
Aiolomorphus,Systole,L445,L446,1,A
Aiolomorphus,Systole,L462,L463,2,A G
Aiolomorphus,Systole,L515,L516,1,G
Aiolomorphus,Systole,L537,L539,1,A
Aiolomorphus,Systole,L543,L544,1,G
Aiolomorphus,Systole,L545,L546,2,G H
Aiolomorphus,Systole,L578,L579,1,G
Aiolomorphus,Systole,L616,L617,2,A G
Aiolomorphus,Systole,L619,L620,1,G
Aiolomorphus,Systole,L620,L621,2,A G
Aiolomorphus,Systole,L621,L622,1,A
Aiolomorphus,Systole,L65,L66,1,G
Aiolomorphus,Systole,L680,L681,1,G
Aiolomorphus,Systole,L682,L683,1,A
Aiolomorphus,Systole,L69,L70,1,A
Aiolomorphus,Systole,L706,L707,1,G
Aiolomorphus,Systole,L707,L708,1,G
Aiolomorphus,Systole,L716,L717,1,G
Aiolomorphus,Systole,L727,L728,1,H
Aiolomorphus,Systole,L745,L746,2,A G
Aiolomorphus,Systole,L759,L760,1,H
Aiolomorphus,Systole,L765,L766,2,A G
Aiolomorphus,Systole,L770,L771,2,A G
Aiolomorphus,Systole,L778,L779,1,G
Aiolomorphus,Systole,L6,L7,1,G
Aiolomorphus,Systole,L869,L870,1,G
Aiolomorphus,Systole,L878,L879,1,G
Aiolomorphus,Systole,L96,L97,1,G
Aiolomorphus,Systole,L989,L990,2,A G
Aiolomorphus,Systole,L1046,L1046,1,G
Aiolomorphus,Systole,L113,L113,1,H
Aiolomorphus,Systole,L115,L115,1,D
Aiolomorphus,Systole,L118,L118,1,G
Aiolomorphus,Systole,L130,L130,2,A G
Aiolomorphus,Systole,L187,L187,1,G
Aiolomorphus,Systole,L241,L241,1,G
Aiolomorphus,Systole,L254,L254,1,G
Aiolomorphus,Systole,L270,L270,1,H
Aiolomorphus,Systole,L275,L275,1,D
Aiolomorphus,Systole,L276,L276,2,C D
Aiolomorphus,Systole,L303,L303,1,G
Aiolomorphus,Systole,L305,L305,2,C D
Aiolomorphus,Systole,L32,L32,2,C D
Aiolomorphus,Systole,L33,L33,1,A
Aiolomorphus,Systole,L391,L391,2,C D
Aiolomorphus,Systole,L43,L43,1,G
Aiolomorphus,Systole,L545,L545,1,H
Aiolomorphus,Systole,L546,L546,1,G
Aiolomorphus,Systole,L564,L564,2,D G
Aiolomorphus,Systole,L616,L616,1,G
Aiolomorphus,Systole,L617,L617,1,G
Aiolomorphus,Systole,L619,L619,1,G
Aiolomorphus,Systole,L620,L620,1,G
Aiolomorphus,Systole,L621,L621,2,C D
Aiolomorphus,Systole,L680,L680,1,D
Aiolomorphus,Systole,L707,L707,1,A
Aiolomorphus,Systole,L728,L728,1,H
Aiolomorphus,Systole,L763,L763,2,C D
Aiolomorphus,Systole,L767,L767,1,G
Aiolomorphus,Systole,L768,L768,1,H
Aiolomorphus,Systole,L770,L770,2,A D
Aiolomorphus,Systole,L793,L793,1,D
Aiolomorphus,Systole,L795,L795,2,C D
Aiolomorphus,Systole,L869,L869,2,C D
Aiolomorphus,Systole,L870,L870,2,C D
Aiolomorphus,Systole,L879,L879,1,G
Aiolomorphus,Systole,L883,L883,2,A G
Aiolomorphus,Systole,L96,L96,1,G
Aiolomorphus,Systole,L14,L15,2,A G
Aiolomorphus,Systole,L241,L242,1,A
Aiolomorphus,Systole,L286,L287,1,A
Aiolomorphus,Systole,L547,L548,1,A
Aiolomorphus,Systole,L662,L663,1,G
Aiolomorphus,Systole,L870,L871,1,G
Aiolomorphus,Systole,L971,L972,1,G
Aiolomorphus,Systole,L987,L988,1,A
Aiolomorphus,Systole,L252,L252,1,G
Aiolomorphus,Systole,L287,L287,1,A
Aiolomorphus,Systole,L736,L736,1,B
Aiolomorphus,Systole,L779,L779,1,A
Aiolomorphus,Systole,L823,L823,1,A
Aiolomorphus,Systole,L845,L845,1,G
Akapala,Asaphes,L501,L502,1,G
Akapala,Cales,L338,L338,2,C D
Akapala,Coccobius,L420,L420,1,G
Akapala,Euperilampus,L237,L239,1,H
Akapala,Lelaps,L1024,L38,1,H
Akapala,Masneroma,L1035,L1035,1,G
Akapala,Metapelma,L359,L359,1,G
Akapala,Microdontomerus,L363,L364,2,A G
Akapala,Microdontomerus,L364,L365,1,A
Akapala,Microdontomerus,L82,L83,1,D
Akapala,Microdontomerus,L364,L364,1,D
Akapala,Microdontomerus,L83,L83,1,D
Akapala,Microdontomerus,L551,L552,1,D
Akapala,Microdontomerus,L551,L551,1,D
